Customer_ID,Customer_Name,City,State,Customer_Segment,Customer_Status
CUST0001,Aryan Maharaj,Mysuru,Karnataka,Standard,Active
CUST0002,Udant Dewan,Salem,Tamil Nadu,Premium,Active
CUST0003,Gagan Sami,Coimbatore,Tamil Nadu,Standard,Active
CUST0004,Ayushman Chander,Mysuru,Karnataka,Business,Active
CUST0005,Viraj Tiwari,Visakhapatnam,Andhra Pradesh,Premium,Active
CUST0006,Rushil Saini,Chennai,Tamil Nadu,Standard,Active
CUST0007,Saumya Mall,Coimbatore,Tamil Nadu,Business,Active
CUST0008,Nathaniel Sami,Vijayawada,Andhra Pradesh,Standard,Inactive
CUST0009,Arunima Dugal,Coimbatore,Tamil Nadu,Premium,Active
CUST0010,Gayathri Chaudry,Tiruchirappalli,Tamil Nadu,Standard,Active
CUST0011,Lajita Chatterjee,Salem,Tamil Nadu,Premium,Active
CUST0012,Hemangini Lalla,Madurai,Tamil Nadu,Standard,Active
CUST0013,Tripti Yadav,Tiruchirappalli,Tamil Nadu,Premium,Active
CUST0014,Kritika Brar,Bengaluru,Karnataka,Premium,Active
CUST0015,Janaki Handa,Pune,Maharashtra,Premium,Active
CUST0016,Chakradev Kari,Tiruchirappalli,Tamil Nadu,Standard,Inactive
CUST0017,Fariq Kaul,Vijayawada,Andhra Pradesh,Standard,Inactive
CUST0018,Lajita Mall,Bengaluru,Karnataka,Business,Active
CUST0019,Janya Gaba,Nashik,Maharashtra,Business,Active
CUST0020,Isha Kadakia,Visakhapatnam,Andhra Pradesh,Standard,Active
CUST0021,Ekbal Garg,Chennai,Tamil Nadu,Business,Active
CUST0022,Nihal Shere,Tiruchirappalli,Tamil Nadu,Premium,Active
CUST0023,Anamika Kanda,Nashik,Maharashtra,Standard,Active
CUST0024,Daksh Karnik,Mumbai,Maharashtra,Premium,Inactive
CUST0025,Diya Rattan,Mysuru,Karnataka,Premium,Active
CUST0026,Dominic Kakar,Pune,Maharashtra,Premium,Active
CUST0027,Simon Tata,Mysuru,Karnataka,Premium,Active
CUST0028,Tara Dhar,Visakhapatnam,Andhra Pradesh,Business,Active
CUST0029,Liam Koshy,Vijayawada,Andhra Pradesh,Business,Active
CUST0030,Priya Rastogi,Hyderabad,Telangana,Premium,Inactive
CUST0031,Theodore Devi,Madurai,Tamil Nadu,Business,Active
CUST0032,Gavin Batta,Mysuru,Karnataka,Premium,Active
CUST0033,Michael Dutta,Coimbatore,Tamil Nadu,Standard,Active
CUST0034,Devansh Rajan,Mumbai,Maharashtra,Premium,Active
CUST0035,Upadhriti Wadhwa,Coimbatore,Tamil Nadu,Business,Active
CUST0036,Advay Contractor,Coimbatore,Tamil Nadu,Business,Inactive
CUST0037,Harini Choudhury,Mumbai,Maharashtra,Business,Inactive
CUST0038,Radhika Dugar,Hyderabad,Telangana,Premium,Active
CUST0039,Aarush Lall,Coimbatore,Tamil Nadu,Business,Active
CUST0040,Yashica Cherian,Salem,Tamil Nadu,Business,Inactive
CUST0041,Yashica Issac,Kolkata,West Bengal,Business,Inactive
CUST0042,Kashvi Edwin,pune,Maharashtra,Standard,Active
CUST0043,Ekiya Suresh,Vijayawada,Andhra Pradesh,Premium,Active
CUST0044,Isaac Patil,Tiruchirappalli,Tamil Nadu,Standard,Active
CUST0045,Wriddhish Bhardwaj,Hyderabad,Telangana,Business,Active
CUST0046,Farhan Chada,Tiruchirappalli,Tamil Nadu,Business,Inactive
CUST0047,Ekapad Walia,Visakhapatnam,Andhra Pradesh,Standard,Inactive
CUST0048,Kabir Soman,Mumbai,Maharashtra,Business,Inactive
CUST0049,Alka Wable,Vijayawada,Andhra Pradesh,Premium,Active
CUST0050,Siddharth Zacharia,Mysuru,Karnataka,Business,Active
CUST0051,Devika Rastogi,Mysuru,Karnataka,Business,Active
CUST0052,Raksha Varughese,Tiruchirappalli,Tamil Nadu,Business,Active
CUST0053,Jai Kota,Bengaluru,Karnataka,Premium,Inactive
CUST0054,Devansh Nigam,Hyderabad,Telangana,Premium,Active
CUST0055,Victor Kannan,Salem,Tamil Nadu,Business,Active
